Chapter,Prompt,Option A,Option B,Option C,Option D,Correct Answer,Explanation,DOK Level,TEKS,Source,URL of diagram,Alternate Text to describe the image,Environmentally Themed Question?,Description
6.1.1,Which of the following is an example of a mineral used in smartphones?,Plastic,Copper,Rubber,Glass,B,"All of these are found in smartphones, but only one of the listed items is a mineral: copper. Some of the other objects are naturally occurring, but a mineral has a fixed chemical composition and an orderly crystal structure.",1,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 6.1.1 -- DOK 1 -- TEKS General Chapter Question
6.1.1,What is the primary reason why rare earth elements (REE) are considered expensive to mine?,Small quantities of REE must be separated from large amounts of other material.,They are highly toxic even in small quantities.,Most deposits of REE form underwater where they are hard to mine.,They are only found in countries where labor is very expensive.,A,"Most REE are not actually rare but they are difficult to find in large quantities, which makes them expensive to mine.",2,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 6.1.1 -- DOK 2 -- TEKS General Chapter Question
6.1.1,Why do some countries need to import materials for smartphone production?,Lack of technology,Insufficient funds,Uneven distribution of material resources,Government regulations,C,"Material resources are not evenly distributed around the world, which leads to some countries needing to import materials for smartphone production.",2,General Chapter Question,ChatGPT - Reading Companion,,,,Chapter 6.1.1 -- DOK 2 -- TEKS General Chapter Question
6.1.1,Why might a particular mineral be in short supply in some parts of the world? (mark all that are correct),It is difficult to mine.,It is not valuable.,It is found in limited locations.,It is not used by people.,"A,C","Earth's minerals are not evenly distributed, meaning some minerals are only found in specific locations.",2,General Chapter Question,ChatGPT -,,,,Chapter 6.1.1 -- DOK 2 -- TEKS General Chapter Question
6.1.1,What could happen if people in one part of the world mine large quantities of a particular mineral?,Other countries will no longer want to mine the mineral.,The country that mines the material could sell it to other parts of the world.,The mineral becomes a precious gem.,There might end up being less of the mineral available to mine in other parts of the world.,B,"Many of the minerals we use are mined in other parts of the world and sold to us. In most cases, this is because the mineral is more plentiful in other parts of the world. If a country mines a lot of the material within its own borders, it doesn't change the amount of the mineral available to mine anywhere else.",2,General Chapter Question,,,,,Chapter 6.1.1 -- DOK 2 -- TEKS General Chapter Question
6.1.1,Why might people in parts of the world with large mineral supplies charge lots of money to people in other parts of the world who want the mineral?,To discourage mining.,To fund environmental protection.,Due to the limited availability of the mineral.,Due to the expense of shipping it to other countries.,C,"If a mineral is only found in specific locations, people in those areas may charge more for it because of its scarcity elsewhere.",2,General Chapter Question,,,,,Chapter 6.1.1 -- DOK 2 -- TEKS General Chapter Question
6.1.1,Where do the minerals used in smartphone production come from?,One specific country.,Only from the country where the smartphone is assembled.,Various countries around the world.,They are all artificially synthesized.,C,Minerals used in smartphone production are sourced from various countries around the world due to the global distribution of mineral resources.,2,General Chapter Question,smartphone parts are made from minerals that are mined all over the world,,,,Chapter 6.1.1 -- DOK 2 -- TEKS General Chapter Question
6.1.1,Why is it important to consider the global origin of minerals used in smartphones?,To determine the most expensive minerals.,To ensure that the minerals are of high quality.,To understand the impact of mining on different regions.,None of the above.,C,Considering the global origin of minerals in smartphones helps in understanding the impact of mining on different regions and promotes responsible sourcing practices.,2,General Chapter Question,smartphone parts are made from minerals that are mined all over the world,,,,Chapter 6.1.1 -- DOK 2 -- TEKS General Chapter Question
6.1.1,What might happen if a particular mineral becomes scarce in one part of the world?,Manufacturers may have to pay more to get the mineral.,It will become less valuable globally.,Manufacturers will stop using it in smartphones.,Nothing significant will occur.,A,A scarcity of a particular mineral in one part of the world can lead to an increase in its price due to higher demand and limited supply.,2,General Chapter Question,smartphone parts are made from minerals that are mined all over the world,,,,Chapter 6.1.1 -- DOK 2 -- TEKS General Chapter Question
6.1.1,Why do smartphones use so many different minerals?,Each mineral has a special job.,It costs less to use different things.,Parts come from different places.,Smartphones don't use minerals.,A,Each mineral has a special job.,2,General Chapter Question,Why do smartphones use so many different minerals?,,,,Chapter 6.1.1 -- DOK 2 -- TEKS General Chapter Question
6.1.2,"Is gold a metal, nonmetal, metalloid, or rare Earth element?",Metal,Nonmetal,Metalloid,Rare Earth Element,A,Gold is a metal based on its physical properties and its importance in various applications.,1,6.6C,TEKS 6.6C,,,,Chapter 6.1.2 -- DOK 1 -- TEKS 6.6C
