Grade/Unit,People,Occupation/Title,Quotes,Bio Info,Sources
G6U1,Monique Warren,Environmental Engineer,"""I love that engineers were like superheroes. They would see things that were wrong in the world and then figure out a solution for them.""",Monique Warren is an environmental engineer at Lawrence Livermore National Lab. She analyzes and designs environmental treatment technologies for soil and groundwater remediation. Her work is important for restoring soil and water ecosystems and maintaining biodiversity.,https://www.youtube.com/watch?v=iDq4h1ulbYo
G6U2,William McDonough,"Architect, Designer, and Thought Leader","""Designing renders visible our hopes and dreams. It is the first signal of human intentions.""","William McDonough is an architect and globally recognized leader in sustainable development and design. He is a pioneer of the concepts of Cradle to Cradle Design™, the Circular Economy, and the Circular Carbon Economy, notably co-authoring Cradle to Cradle: Remaking The Way We Make Things.",https://mcdonough.com/
G6U3,Warren Washington,Atmospheric Scientist,"""Keep in mind that we're the first generation that actually sees climate change in human history. Most climate change has been us going in and out of ice ages over thousands of years. Now we're seeing things happen over tens of years.""",Warren Washington is an internationally recognized expert on atmospheric science and climate research. He was the second African-American to earn a doctorate in the atmospheric sciences in the U.S. He developed groundbreaking atmospheric computer models when he came to the National Center for Atmospheric Research in the early 1960s.,https://www.businessinsider.com/warren-washington-first-climate-model-environment-prize-2019-2
G6U4,Rachael E. Bonoan,Post-Doctoral Researcher,"""Now that I know a scientist doesn't have to look like Bill Nye or one of those Google Images, I wish I had been able to identify as one earlier.""","Rachael Bonoan is a first generation Spanish-speaking researcher in the Crone Lab (Tufts University), and the Schultz Lab (Washington State University, Vancouver) and studies ant-caterpillar interactions in the South Puget Sounds, WA. Dr. Bonoan is passionate about ecology, social insects, and insect pollinators.",https://www.rachaelebonoan.com/
G6U5,Krista Donaldson,Mechanical Engineer,"""But the key is, you can have this great invention, you can have this great design, but how do you get it to the people who most need it?""","Krista Donaldson is the CEO of D-Rev, a non-profit product development company improving the health and incomes of people around the world. She puts her mechanical engineering degree to use by creating affordable medical devices for under-resourced people and people living in developing countries.",https://www.ted.com/talks/krista_donaldson_the_80_prosthetic_knee_that_s_changing_lives
G6U6,Brynmore Williams,Director and Cinematographer,"""I find the stories that are hiding in plain sight; discover the commonalities that weave subjects and disparate narratives together; and tell stories that inspire audiences to feel and dream.""","Brynmore Williams is an award-winning documentary film director who specializes in short form documentary profiles, health, and human interest stories. He is a versatile director, cinematographer, and editor whose journalism, commercial, and academia backgrounds can be clearly seen in the work that he produces.",https://filmincolorado.com/production/brynmore-williams/
G7U1,Hedy Lamarr,Actress and Inventor,"""The unknown was always so attractive to me… and still is.""","Known most famously as a world-renowned actress, European-American Hedy Lamarr was part of a team that invented and engineered spread spectrum technology, a predecessor to our prevalent wireless communications of today. As an Austrian-born U.S. immigrant, the purpose of her inventions was to help fight the Nazi powers of World War II. Her work helped jumpstart the technology that is now used for cell phones.",https://www.forbes.com/sites/shivaunefield/2018/02/28/hedy-lamarr-the-incredible-mind-behind-secure-wi-fi-gps-bluetooth/#4d0594e941b7
G7U2,Walter Lincoln Hawkins,Chemical Engineer,"""If you fight hard, know who you are, and are proud of who you are, you've got a good chance of winning.""","Walter Lincoln Hawkins was a chemist and engineer who pioneered advances in polymer coatings that are still used today in modern telecommunications. He was the first African-American on staff at AT&T’s Bell Labs in Murray Hill, NJ, where his work led to many breakthroughs in science and engineering.",https://www.pinterest.ph/pin/169940585911277197/?nic_v1=1aUZ4EBiOi%2B6olv%2BdbkFV2h7xV4eBhTyfCsU%2Bd%2F%2BDuRWJph%2F8iCoY4dCYX5YXqwVPs
G7U3,Kawika Winter,Botanist,"""The trees were my friends, the fishes were my friends, and when you see change happening and their environment suffering, that creates a deep drive to save them.""",Kawika Winter is a native Hawaiian botanist and conservationist. He intertwines scientific knowledge and tools to understand traditional Hawaiian culture and the environment.,https://www.sciencemag.org/careers/2011/08/juggling-act-paradise
G7U4,George Washington Carver,Botanist and Inventor,"""Since new developments are the products of a creative mind, we must therefore stimulate and encourage that type of mind in every way possible.""","In the late 1800s and early 1900s, famous African-American botanist, agriculturalist, and inventor George Washington Carver promoted crop rotation on cotton farms to ensure that soils were able to get nutrients from nitrogen-fixing plants such as sweet potatoes and peanuts. Dr. Carver knew this system of crop rotation would help poor southern farmers restore health to their soils. He later dedicated his life to promoting racial equality throughout the country.",
