Grade,Unit,Chapter,ChapterName,Spanish Chapter Name,ChapterDescription,ChapterDescriptionStident,ChapterDescriptionStidentSpanish
6,1,1,Examining Evidence of Climate Change,Examinando la Evidencia del Cambio Climático,"Students begin this unit by playing the Carbon Command game which helps them to understand the negative impacts of increasing carbon dioxide levels in the oceans and the atmosphere. A message from the Green Ninja introduces the unit challenge of designing a climate-friendly home. Students then take a pre-assessment to assess their prior knowledge of climate, temperature, and energy concepts. They review their pre-assessment and reflect on their understanding of the core ideas of the unit. They also engage in a data analysis activity to explore evidence of climate change.","In the Green Ninja program, our first unit begins with a challenge to design a climate-friendly home. This challenge offers us the opportunity to apply creativity and critical thinking towards reducing our carbon footprint. The initial chapter introduces the impacts of increasing carbon dioxide levels in our oceans and atmosphere, utilizing the interactive game Carbon Command. We also explore real-world evidence of climate change through data analysis. This examination lets us understand the significant effects of human activities on our planet and the need for sustainable actions. This study lays the groundwork for our exploration of climate, temperature, and energy concepts as we progress through the unit. Let&rsquo;s go!","En el programa Green Ninja, nuestra primera unidad comienza con un desafío para diseñar una casa amigable con el clima. Este desafío nos ofrece la oportunidad de aplicar la creatividad y el pensamiento crítico para reducir nuestra huella de carbono. El primer capítulo presenta los impactos del aumento de los niveles de dióxido de carbono en nuestros océanos y atmósfera, utilizando el juego interactivo Carbon Command. También exploramos evidencia del mundo real del cambio climático a través del análisis de datos. Este examen nos permite comprender los efectos significativos de las actividades humanas en nuestro planeta y la necesidad de acciones sostenibles. Este estudio sienta las bases para nuestra exploración de los conceptos de clima, temperatura y energía a medida que avanzamos en la unidad. ¡Vamos!"
6,1,2,Temperature and Energy Transfer,Temperatura y Transferencia de Energía,"Students delve deeper into the topic of Earth's changing climate and specifically focus on understanding temperature. They engage in discussions and hands-on activities to explore the relationship between temperature and energy. Using an online simulation, students further investigate models of how temperature relates to the total energy of particles in a substance. Short investigations help to develop an understanding of thermal energy transfer. The chapter ends with a formative assessment to gauge the students&rsquo; comprehension of thermal energy transfer.","This chapter delves into the complex connection between temperature and energy, exploring the intricate world of thermal energy transfer. Our investigation encompasses key concepts such as conduction, convection, and radiation, enhancing our understanding of how temperature influences the behavior of substances. We employ an online simulation as our virtual laboratory, which allows us to investigate the energy states of particles in different substances and observe the effects of varying temperatures. Understanding thermal energy transfer is crucial as we continue to learn about Earth's changing climate and the contributing factors.","Este capítulo profundiza en la compleja conexión entre temperatura y energía, explorando el intrincado mundo de la transferencia de energía térmica. Nuestra investigación abarca conceptos clave como la conducción, la convección y la radiación, mejorando nuestra comprensión de cómo la temperatura influye en el comportamiento de las sustancias. Utilizamos una simulación en línea como nuestro laboratorio virtual, lo que nos permite investigar los estados de energía de las partículas en diferentes sustancias y observar los efectos de las temperaturas variables. Comprender la transferencia de energía térmica es crucial a medida que seguimos aprendiendo sobre el cambio climático de la Tierra y los factores que contribuyen a él."
6,1,3,The Greenhouse Effect,El Efecto Invernadero,Students begin the chapter by taking a quiz to assess their understanding of the core ideas related to temperature and energy transfer. They then engage in a demonstration and read an article that provides information about the greenhouse effect. Students participate in a play assuming different roles representing components of the greenhouse effect. This helps them make the connection between increasing carbon dioxide levels and rising global temperatures. Students collaborate to design an investigation to determine the impact of carbon dioxide on temperature.,"This chapter provides robust exploration of the greenhouse effect, an essential factor in Earth's temperature. We engage in a demonstration and scientific investigation studying the relationship between carbon dioxide and temperature. Further learning occurs through reading materials, and a play elucidating the greenhouse effect's operation on Earth. Subsequently, we compare Earth&rsquo;s temperature with that of Venus, utilizing our new knowledge to explain the difference. This chapter is a vital part of our journey in understanding climate and designing a climate-friendly home.","Este capítulo proporciona una exploración sólida del efecto invernadero, un factor esencial en la temperatura de la Tierra. Participamos en una demostración e investigación científica que estudia la relación entre el dióxido de carbono y la temperatura. El aprendizaje adicional ocurre a través de materiales de lectura y una obra que aclara el funcionamiento del efecto invernadero en la Tierra. Posteriormente, comparamos la temperatura de la Tierra con la de Venus, utilizando nuestro nuevo conocimiento para explicar la diferencia. Este capítulo es una parte vital de nuestro viaje para comprender el clima y diseñar una casa amigable con el clima."
6,1,4,Earth Systems Deep Dive,Profundizando en los Sistemas Terrestres,"Students now revisit the Carbon Command game, focusing on understanding how energy moves through various Earth systems. Polar bear habitat loss is investigated, and the interconnectedness of Earth's systems is explored through different scenarios. Students answer questions and share their knowledge about how energy and matter transfer between Earth's systems. To consolidate their understanding, students create an Earth Systems Super Poster to visually represent how energy and matter move between Earth's spheres.","This chapter investigates the interconnected nature of Earth's systems and the intricate impacts they exert on each other. We focus on how energy flows through these systems, using the example of polar bear habitat loss to illustrate the balance of life on Earth. From climate to weather patterns, ocean currents to ecosystems, we examine the complex interactions within Earth's spheres. This chapter culminates in creating an Earth Systems Super Poster, visually representing the flow of energy and matter through these spheres, forming a comprehensive understanding of Earth's dynamic systems.","Este capítulo investiga la naturaleza interconectada de los sistemas de la Tierra y los impactos intrincados que ejercen en cada uno. Nos enfocamos en cómo fluye la energía a través de estos sistemas, utilizando el ejemplo de la pérdida de hábitat del oso polar para ilustrar el equilibrio de la vida en la Tierra. Desde el clima hasta los patrones meteorológicos, las corrientes oceánicas hasta los ecosistemas, examinamos las complejas interacciones dentro de las esferas de la Tierra. Este capítulo culmina en la creación de un Super Póster de los Sistemas Terrestres, representando visualmente el flujo de energía y materia a través de estas esferas, formando una comprensión integral de los sistemas dinámicos de la Tierra."
6,1,5,Carbon Footprint,Huella de Carbono,"Factors contributing to changes in Earth's climate, specifically the rise in global temperatures, are now considered. Students formulate scientific questions and distinguish between natural and anthropogenic factors impacting climate change. Unit Concept Checkpoint #1 provides a chance to check on student understanding. Students play the Carbon Command game once more. Following a video about carbon footprints, students analyze their own energy usage, and create public service announcement posters educating others on ways to lower their carbon footprint.","This chapter transforms us into climate detectives, taking us deeper into the world of climate change. We guide our exploration with scientific questions, investigating the different factors affecting climate change and distinguishing between natural causes and those caused by human activities. We watch a video about carbon footprints, analyze our own energy usage, and explore sustainable practices for daily life. Finally, we design posters to inspire others in the fight against climate change.","Este capítulo nos convierte en detectives del clima, llevándonos más profundamente al mundo del cambio climático. Guiamos nuestra exploración con preguntas científicas, investigando los diferentes factores que afectan el cambio climático y distinguiendo entre causas naturales y aquellas causadas por actividades humanas. Vemos un video sobre huellas de carbono, analizamos nuestro propio uso de energía y exploramos prácticas sostenibles para la vida diaria. Finalmente, diseñamos carteles para inspirar a otros en la lucha contra el cambio climático."
6,1,6,Minimizing Thermal Energy Transfer,Minimizando la Transferencia de Energía Térmica,Students share their carbon footprint public service announcements through a gallery walk. They then shift their attention to reducing home energy usage by focusing on minimizing thermal energy transfer. Students plan and carry out investigations to determine if certain materials can effectively prevent thermal energy from transferring into containers.,This concise chapter emphasizes reducing home energy usage by minimizing thermal energy transfer. We plan investigations to examine different materials for their effectiveness in preventing thermal energy transfer into containers. The results from these investigations will aid in preparing for the unit challenge.,Este capítulo conciso enfatiza la reducción del uso de energía en el hogar al minimizar la transferencia de energía térmica. Planeamos investigaciones para examinar diferentes materiales por su efectividad en prevenir la transferencia de energía térmica en los contenedores. Los resultados de estas investigaciones ayudarán a prepararnos para el desafío de la unidad.
6,1,7,Designing a Climate-Friendly Home,Diseñando una Casa Amigable con el Clima,"The chapter begins with Unit Concept Checkpoint #2. Students share their findings about effective insulators, and then embark on a multi-day design challenge focused on designing, creating, and testing well-insulated homes. Students review the engineering design process, analyzing and redesigning their prototypes where necessary. Brochures document their design, construction, and testing processes. They share their completed prototypes and brochures in a presentation. Students conclude the unit by taking a final assessment, and reflecting on ethical decision-making within communities.","In the final chapter, we tackle the design challenge. Over several days, we'll apply the engineering design process to design, create, and test our own well-insulated homes. We document our processes by creating informative brochures showcasing our creativity, problem-solving skills, and the science behind our well-insulated homes. In the final stage, we present our completed prototypes and brochures to the class. It's crucial to consider how our designs and actions contribute to a sustainable and equitable future. So prepare for your final project - designing a climate-friendly home!","En el capítulo final, abordamos el desafío de diseño. Durante varios días, aplicamos el proceso de diseño de ingeniería para diseñar, crear y probar nuestras propias casas bien aisladas. Documentamos nuestros procesos creando folletos informativos que muestran nuestra creatividad, habilidades para resolver problemas y la ciencia detrás de nuestras casas bien aisladas. En la etapa final, presentamos nuestros prototipos y folletos completos a la clase. Es crucial considerar cómo nuestros diseños y acciones contribuyen a un futuro sostenible y equitativo. ¡Así que prepárense para su proyecto final: diseñar una casa amigable con el clima!"
6,2,1,The Zero Energy Home,La Casa de Energía Cero,"Students are introduced to the unit challenge: to redesign your home to conserve energy. They begin by taking a pre-assessment to gauge their prior knowledge about energy and energy transfer. The video Karbon Kombat explores different energy sources. Students then move on to the basics of wind power in preparation for a design project. They build their own wind turbines, then conduct tests and make improvements. These activities provide them with practical experience in applying engineering design principles, including iterative testing. Afterwards, students present their results and discuss them with peers.","In this unit, you're going to study energy and how energy conservation at home can reduce pollution and save you and your family money. In this chapter, you'll be introduced to the unit challenge - to redesign your home to conserve energy. Then, you'll get started by learning about and designing your own wind turbine. Let&rsquo;s get started!","En esta unidad, estudiarás la energía y cómo la conservación de energía en el hogar puede reducir la contaminación y ahorrar dinero a ti y a tu familia. En este capítulo, se te presentará el desafío de la unidad: rediseñar tu hogar para conservar energía. Luego, te pondrás en marcha aprendiendo sobre la energía eólica y diseñando tu propio aerogenerador. ¡Comencemos!
"
6,2,2,Home Energy Use,Uso de Energía en el Hogar,"The beginning of this chapter focuses on smart meter technology. Students gain hands-on experience using a power meter to calculate energy use, carbon emissions, and the costs associated with various electrical items. In addition to this, the Green Ninja Energy Tracker allows students to enter and analyze their home energy data. Data analysis plays a significant role in these lessons, as students compare their results to identify patterns and other interesting features. Students complete the Unit Concept Checkpoint #1 as a class, and then work in teams to apply engineering design principles and develop plans for decreasing energy consumption at home.","We're starting this chapter by diving into the fascinating world of smart meter technology. You'll step into the role of a scientist, using a real power meter to explore how much energy different devices use and how that impacts our planet and wallets. You'll also become an energy detective with the Green Ninja Energy Tracker at your side. Here's the fun part - you'll collect data about your own home's energy use and delve into that data to discover compelling patterns. Ready to make a real-world difference? Working with your team, you'll design a practical plan to save energy at home, putting into action all the things you've learned. So gear up to power up your knowledge and step into the role of an energy-saving hero.","Comenzamos este capítulo adentrándonos en el fascinante mundo de la tecnología de medición inteligente. Te convertirás en un científico, utilizando un medidor de energía real para explorar cuánta energía usan diferentes dispositivos y cómo esto afecta nuestro planeta y bolsillos. También te convertirás en un detective de energía con la ayuda del Rastreador de Energía Green Ninja. Aquí viene la parte divertida: recopilarás datos sobre el consumo de energía de tu propio hogar y analizarás esos datos para descubrir patrones interesantes. ¿Listo para hacer una diferencia en el mundo real? Trabajando con tu equipo, diseñarás un plan práctico para ahorrar energía en casa, poniendo en práctica todo lo que has aprendido. Así que prepárate para alimentar tu conocimiento y convertirte en un héroe que ahorra energía.
"
6,2,3,Thermal Mass and Passive Solar Homes,Masa Térmica y Hogares Solares Pasivos,"In these lessons, students are introduced to the concept of a passive solar home. The students explore the thermal properties of various materials and design experiments to investigate the factors that influence how materials heat up. They learn about scientific testing methods and apply them to design their own investigations. Through their experiments, the students determine how different factors affect the heating process of materials. Finally, they summarize their findings and assess their progress using the Green Ninja Energy Tracker.",Get ready for an exploration into the world of passive solar homes! You'll learn about thermal properties and discover the secrets behind materials that heat up quickly and slowly through some of your own investigations. You&rsquo;ll review what you&rsquo;ve learned and get the chance to check back in on progress with the Green Ninja Energy Tracker.,¡Prepárate para explorar el mundo de las casas solares pasivas! Aprenderás sobre las propiedades térmicas y descubrirás los secretos detrás de los materiales que se calientan rápidamente y los que lo hacen lentamente a través de algunas de tus propias investigaciones. Repasarás lo que has aprendido y tendrás la oportunidad de revisar el progreso con el Rastreador de Energía Green Ninja.
